央视高码,#genre#
CCTV-01高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0.flv
CCTV-02高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qa.flv
CCTV-03高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/62wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8.flv
CCTV-04高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3ed.flv
CCTV-05高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/61qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7u.flv
CCTV-06高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv6yhn7ujm8ik9ol0p1qaz2wsx3edc4rfv5tg.flv
CCTV-07高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv7ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6yh.flv
CCTV-08高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv8ik9ol0p1qaz2wsx3edc4rfv5tgb6yhn7uj.flv
CCTV-09高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv9ol0p1qaz2wsx3edc4rfv5tgb6yhn7ujm8i.flv
CCTV-10高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv10p1qaz2wsx3edc4rfv5tgb6yhn7ujm8ik.flv
CCTV-11高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv11qaz2wsx3edc4rfv5tgb6yhn7ujm8ik9ol.flv
CCTV-12高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv12wsx3edc4rfv5tgb6yhn7ujm8ik9ol0p1q.flv
CCTV-13高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv13edc4rfv5tgb6yhn7ujm8ik9ol0p1qaz2ws6.flv
CCTV-14高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv14rfv5tgb6yhn7ujm8ik9ol0p1qaz2wsx3e.flv
CCTV-15高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv15tgb6yhn7ujm8ik9ol0p1qaz2wsx3edc4r.flv
CCTV-17高码,http://push-rtmp-hs-spe-f5.douyincdn.com/live/tv17ujm8ik9ol0p1qaz2wsx3edc4rfv5tgb6y.flv
央卫高清,#genre#
CCTV-01高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-1HD
CCTV-02高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-2HD
CCTV-03高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-3
CCTV-04高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-4HD
CCTV-05高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-5
CCTV-06高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-6
CCTV-07高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-7HD
CCTV-08高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-8
CCTV-09高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-9HD
CCTV-10高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-10HD
CCTV-11高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-11HD
CCTV-12高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-12HD
CCTV-13高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-13HD
CCTV-14高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-14HD
CCTV-15高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-15HD
CCTV-16高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-16HD
CCTV-17高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CCTV-17HD
北京卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/BJWS-HD
东方卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/DFWS-HD
浙江卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/ZJWS-HD
江苏卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/JSWS-HD
湖南卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/HNWS-HD
广东卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/GDWS-HD
深圳卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/SZWS-HD
天津卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/TJWS-HD
安徽卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/AHWS-HD
山东卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/SDWS-HD
河南卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/HAWS-HD
江西卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/JXWS-HD
湖北卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/HBWS-HD
四川卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/SCWS-HD
重庆卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/CQWS-HD
东南卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/DNWS-HD
陕西卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/GZWS-HD
陕西卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/SXWS-HD
吉林卫视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/JLWS-HD
黑龙江视高清,http://playerlive-gd.skysrt.iptv.xin:2052/api-playerlive-sx.skysrt.com/gd/HLJWS-HD
央卫,#genre#
CCTV1,http://150.158.112.123/php/dl.php?id=CCTV1
CCTV2,http://150.158.112.123/php/dl.php?id=CCTV2
CCTV3,http://150.158.112.123/php/dl.php?id=CCTV3
CCTV4,http://150.158.112.123/php/dl.php?id=CCTV4
CCTV5,http://150.158.112.123/php/dl.php?id=CCTV5
CCTV6,http://150.158.112.123/php/dl.php?id=CCTV6
CCTV7,http://150.158.112.123/php/dl.php?id=CCTV7
CCTV8,http://150.158.112.123/php/dl.php?id=CCTV8
CCTV9,http://150.158.112.123/php/dl.php?id=CCTV9
CCTV10,http://150.158.112.123/php/dl.php?id=CCTV10
CCTV11,http://150.158.112.123/php/dl.php?id=CCTV11
CCTV12,http://150.158.112.123/php/dl.php?id=CCTV12
CCTV13,http://150.158.112.123/php/dl.php?id=CCTV13
CCTV14,http://150.158.112.123/php/dl.php?id=CCTV14
CCTV15,http://150.158.112.123/php/dl.php?id=CCTV15
CCTV16,http://150.158.112.123/php/dl.php?id=CCTV16
CCTV17,http://150.158.112.123/php/dl.php?id=CCTV17
江苏卫视,http://150.158.112.123/php/dl.php?id=江苏卫视
浙江卫视,http://150.158.112.123/php/dl.php?id=浙江卫视
东方卫视,http://150.158.112.123/php/dl.php?id=东方卫视
北京卫视,http://150.158.112.123/php/dl.php?id=北京卫视
湖南卫视,http://150.158.112.123/php/dl.php?id=湖南卫视
重庆卫视,http://150.158.112.123/php/dl.php?id=重庆卫视
四川卫视,http://150.158.112.123/php/dl.php?id=四川卫视
东南卫视,http://150.158.112.123/php/dl.php?id=东南卫视
湖北卫视,http://150.158.112.123/php/dl.php?id=湖北卫视
黑龙江卫视,http://150.158.112.123/php/dl.php?id=黑龙江卫视
山东卫视,http://150.158.112.123/php/dl.php?id=山东卫视
海南卫视,http://150.158.112.123/php/dl.php?id=海南卫视
深圳卫视,http://150.158.112.123/php/dl.php?id=深圳卫视
西藏卫视,http://150.158.112.123/php/dl.php?id=西藏卫视
大湾区卫视,http://150.158.112.123/php/dl.php?id=大湾区卫视
浙江卫视,http://150.158.112.123/php/dl.php?id=浙江卫视
